trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",20,0,-106.46803843801565,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.9999500004166653}",20,0,-81.29796126509872,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.4, 'e': 0.9997500170828264}",20,0,-87.96520919014154,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.99930016331569}",20,0,-161.94655524299236,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.4, 'e': 0.9985008297713701}",20,0,-107.07366441922748,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9972529637387458}",20,0,-137.78481464356588,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.9954584468559987}",25,0,-103.45488795341359,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",1
8,False,"{'a': 0.4, 'e': 0.9930205693717776}",20,0,-119.67931224490303,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9898445979433866}",25,0,-148.0841702152915,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.9858384325788746}",20,0,3.594821414253168,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.4, 'e': 0.9809133467071404}",20,0,-140.3366546788548,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.4, 'e': 0.9749848025266737}",35,0,-170.12701096729387,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.4, 'e': 0.9679733317747581}",30,0,-94.00429856559565,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
