trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-207.92088058256815,"{0: 7, 1: 5, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-135.92173241545257,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-189.38830688811194,"{0: 13, 1: 5, 2: 8, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-93.20114687000456,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-87.94450783438532,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-68.30968701745338,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-83.61404187115957,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,3,-64.89249714610389,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-80.14700459057116,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-152.6136822538543,"{0: 17, 1: 7, 2: 10, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-40.806284877412196,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,10,-57.210604813999055,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-161.11870559138066,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-129.68666922558228,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-139.8403852995245,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-78.16400384992194,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-194.34016144201095,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-234.48593012680928,"{0: 16, 1: 3, 2: 6, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-93.15923662105075,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-152.20914552955685,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-197.97400631630376,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-43.77823537154674,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-192.6714314962013,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",20,0,-115.4033871710136,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",35,0,-70.54903390861527,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-167.7956551396486,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-90.24302413723696,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-123.38427305422886,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-118.06356587779463,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-235.3979926083651,"{0: 11, 1: 3, 2: 4, 3: 4, 4: 3}",0
